03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
06MO9399,10 MO 400,98G4915,01L1642,04CW8887,10 KE7463,05 OY 4685,02WX 1464,
06KE2475,90LS2434,99SO 5754,02WX5330,96   W4918,91 OY 9129,02D2796,97W 6841,
04 LH9130,00D 2533,00 LM6281,11G 4970,98LD6797,98 KY375,99 LK 6414,01LS 8797,
98C 9795,93C,91L4119,97LH 7895,07 KK 97,96 WX 703,02 MO6114,00 LK 3644,
94 CN 8073,09 CN 9403,11 TS 1590,05WX 7334,00 TN 357,09 KY1827,91 KY2562,04WH 8034,
92 KK 8717,07LH9591,02LD 8560,11C6872,99 WW864,07 G1086,98W 8984,99 WD4630,
00 LD2435,05CE7867,06 RN3189,96KY 6362,06 CW7040,99 WX 6035,10SO9144,94 DL 103,
00 CE7725,91KK5646,06WX6387,96 WX 6676,96 CN8895,98 LH 8249,09CN 7869,99 WW4106,
07RN 2434,12 D1116,95MO8314,00WD 3179,08 LK 5484,91MN 6827,06 CN 3719,07DL346,
10D226,94 KY8565,96KY 7737,08 LK 305,95TN 7819,93MO 4610,02RN5864,02 KY 3383,
90MH9674,06 MN378,05CE7558,09LM2118,08DL9184,95 TN 2632,12KY9724,93LM 7306,
12 SO 6156,02WD 8427,03TS 2348,03 TN 6253,92KY 4287,92G789,90RN 8469,02MO4898,
06 KK 9248,09KK4160,91RN 6193,97D1097,08 KY 1196,05W5258,91TN9923,97TS8432,
92 L827,98 WX9095,07 G1681,93 LS 8608,08 L2525,09 RN 5661,12 SO 957,11 WX 5743,
07 KE1557,01KY25,04KY3346,03 L7663,90 LH 4785,09MO 7471,03 LD 3944,04 RN 7683,
05LD 5976,93 WW5646,08CW1394,98 CW5290,00 KK 7363,05MH7700,03 LD 2335,95KE5616,
07 G8860,93CW3909,94 TS4024,09LM 5697,04DL 5076,94 WX 4343,95MO 4929,96 C66,
99LS8069,09 WX 1824,92WX 9171,06 DL9464,03W733,07 KK2603,05 LS 920,11 LH4174,
92KY 1566,00 OY 1980,03 LH 8991,12W7782,93SO6664,98 CW3407,11OY274,96 L 8069,
06 WH8810,06L2551,91 LK2899,09WX 9124,97 CE6652,97 TN2207,92LD6513,98KE2812,
01OY9219,05 LS 31,00 DL7495,03  OY  8238,11 L2212,04 LK 8591,06 MH 1483,95 SO5024,
00 DL 2884,09LS 6462,93G 4191,11CN 9827,08 CW9676,90WX9698,08D 4166,10 LH5849,
06 KK1247,11LD5418,92 CN 7850,04 W 1821,06TN 7013,10TS 2950,02 TN8112,01 W 373,
92 MN 7929,94TS3488,11TS 2277,97CW 5600,98 MH1836,07LD 6107,04 WD4563,08LD 6132,
92 KY2410,09CN 6535,98D867,02 LD 3081,104543,96 C 5169,92KY 827,09 CW 1855,
08WX1736,06 G 2472,00 LD3231,04CE3010,10 WD3040,97LH 3092,94 C,10MO 50,
04 LD 7987,06 SO4824,91 OY 1136,02KK1392,08LH7978,03DL4880,04LM8543,08 LS 9599,
09LD 1662,08 LS 3827,07 LH9554,09 TS 3394,94 TS 9968,11KY7012,90MO2929,06 LS6963,
93 SO 3691,05 LK 4328,01MN1165,03 KE 6641,99 L 2701,05 KE1749,03MH 4695,96 LH7146,
07 WD1288,06DL2235,07 WW 5113,95LK8260,01KK8431,92TS 9295,05 LM6210,95 LM 8052,
96 WX5301,09 KY3785,09WH3360,06WX581,05 WW 4767,92 KY 3359,10WX 7581,93WH 4364,
05LK 9293,97WD4381,98L427,10 LH2847,06 KY4205,06 LM8082,00 TS 9818,00LK9571,
91WH 3029,11LH6255,09KY 4870,04 KY8849,08 MH363,94WH 6881,92 LM 9823,90 CW7296,
10 W 5557,90LK 6727,98WW 3302,07 MN 2845,94G 7352,97 KK 6175,09 WD 9266,98 LS 5525,
01 CW5610,06 WH 1294,10CE271,96 MO8650,06CW1235,08LD9538,91 L 1929,04 WH 9910,
04 RN9485,09LS8331,96 WX9828,99LM 9292,08 WD 5012,93 OY 263,01 CN6577,04 LM 4749,
96 CN 9123,97MO4655,07LM 7108,97 LK7102,97 KE1091,95 DL2850,10 L4945,94 KK2775,
96 MH 5572,09OY 3694,09MH718,92KE 6625,93 L 7667,06 WW6440,04MH 6875,92L 7416,
03LM 5531,95 TN 545,03RN 9290,05 C5245,99 LD 7985,96 C 5675,95 MH7225,99KY3630,
92 WH 1176,01LK 655,92RN 7995,10CN8891,97MH 3894,08 KE7019,01CE1570,99 WX5950,
95LS 5950,92 G 1403,04 W 3335,00  L2719,94LS7678,97G 1036,12LK 294,07CE 4896,
99MH 1532,96SO 8321,94 CW 7051,01 LM 9140,96KK 8578,01KK3625,12SO 3145,10 WH 5352,
08W3654,01 WX 233,95CW 2460,06KE 8098,96W2967,03 W1740,94 MH8803,01 KE3076,
10 TN6989,06MN43,94LK9029,98 CE 6958,12 CE9616,03OY1580,04WD 6551,07RN 7943,
92CN1789,90D464,98 MN3533,00L 9897,07 CE4001,93 CE 9777,04 KK 9608,94RN5084,
93 OY7466,99 DL 6414,95LH8581,04 KE 9186,01 RN 8090,08C580,04C 2200,07 CN 7525,
